,category_id,date,product_id,product_name,weight
0,1,2015-12-25,1,وايت توب,225.805
1,1,2015-12-25,2,كرافت لاينر -KLB,365.857
2,1,2015-12-25,3,كرافت لاينر -VLB,54.96
3,1,2015-12-25,4,تست لاينر ,395.795
5,1,2015-12-25,6,فلـــــوتنج مستورد ,65.108
16,1,2015-12-25,18,ورق دوبلكس - ايطالى,78.119
102,1,2015-12-25,121,وايت توب ظهر كرافت,125.477
103,1,2015-12-25,122,سيمي كيميكال -SCF,28.356
116,1,2015-12-25,135,كرافت لاينر -BLB,53.646
117,1,2015-12-25,136,فلـــوتنج معالـــــج ,48.344
118,1,2015-12-25,137,فلوتنج عـــــــــادى,35.849
119,1,2015-12-25,140,سيمي كيميكال -SCF روسي,1165.826
120,1,2015-12-25,141,كرافت لاينر - روسي ,886.262
122,1,2015-12-25,143,ورق دوبلكس - stock,0.76
123,1,2015-12-25,145,وايت توب - محلى,28.394
124,1,2015-12-25,146,فلوتنج غامق - محلي ,31.721
125,1,2015-12-25,147,وايت توب - محلي ٢,0.55
126,1,2015-12-25,148,فلوتنج عـــــــــادى - بواقي ,7.164
129,1,2015-12-25,151,ورق دوبلكس - سعودي ,14.45
4012,1,2015-11-25,1,وايت توب,144.77
4013,1,2015-11-25,2,كرافت لاينر -KLB,398.861
4014,1,2015-11-25,3,كرافت لاينر -VLB,85.348
4015,1,2015-11-25,4,تست لاينر ,398.478
4017,1,2015-11-25,6,فلـــــوتنج مستورد ,69.844
4028,1,2015-11-25,18,ورق دوبلكس - ايطالى,87.447
4114,1,2015-11-25,121,وايت توب ظهر كرافت,182.769
4127,1,2015-11-25,135,كرافت لاينر -BLB,53.646
4128,1,2015-11-25,136,فلـــوتنج معالـــــج ,21.82
4129,1,2015-11-25,137,فلوتنج عـــــــــادى,43.767
4130,1,2015-11-25,140,سيمي كيميكال -SCF روسي,1351.3
4131,1,2015-11-25,141,كرافت لاينر - روسي ,1049.988
4133,1,2015-11-25,143,ورق دوبلكس - stock,0.76
4134,1,2015-11-25,144, تست لاينر محلي ,4.772
4135,1,2015-11-25,145,وايت توب - محلى,5.086
4136,1,2015-11-25,146,فلوتنج غامق - محلي ,19.495
4137,1,2015-11-25,148,فلوتنج عـــــــــادى - بواقي ,2.104
8101,1,2015-10-25,1,وايت توب,324.252
8102,1,2015-10-25,2,كرافت لاينر -KLB,444.278
8103,1,2015-10-25,3,كرافت لاينر -VLB,102.224
8104,1,2015-10-25,4,تست لاينر ,366.47
8106,1,2015-10-25,6,فلـــــوتنج مستورد ,85.31
8116,1,2015-10-25,18,ورق دوبلكس - ايطالى,100.54
8202,1,2015-10-25,121,وايت توب ظهر كرافت,190.699
8215,1,2015-10-25,135,كرافت لاينر -BLB,59.074
8216,1,2015-10-25,136,فلـــوتنج معالـــــج ,43.27
8217,1,2015-10-25,137,فلوتنج عـــــــــادى,57.021
8218,1,2015-10-25,140,سيمي كيميكال -SCF روسي,851.844
8219,1,2015-10-25,141,كرافت لاينر - روسي ,437.488
8221,1,2015-10-25,143,ورق دوبلكس - stock,0.76
8222,1,2015-10-25,144, تست لاينر محلي ,17.88
8223,1,2015-10-25,145,وايت توب - محلى,6.436
8224,1,2015-10-25,146,فلوتنج غامق - محلي ,28.669
8225,1,2015-10-25,147,وايت توب - محلي ٢,15.097
8226,1,2015-10-25,148,فلوتنج عـــــــــادى - بواقي ,6.565
11962,1,2015-09-25,1,وايت توب,269.589
11963,1,2015-09-25,2,كرافت لاينر -KLB,606.684
11964,1,2015-09-25,3,كرافت لاينر -VLB,102.224
11965,1,2015-09-25,4,تست لاينر ,325.429
11967,1,2015-09-25,6,فلـــــوتنج مستورد ,107.848
11977,1,2015-09-25,18,ورق دوبلكس - ايطالى,259.52
12063,1,2015-09-25,121,وايت توب ظهر كرافت,137.996
12076,1,2015-09-25,135,كرافت لاينر -BLB,64.804
12077,1,2015-09-25,136,فلـــوتنج معالـــــج ,51.402
